"['Ah']:[['Kh']]:[2, 3, 1],[1]","[0.0, 1.0]"
"['Ah']:[]:[2, 3, 2],[]","[0.0, 1.0]"
"['Qh']:[['Kh']]:[3, 3],[]","[0.0, 1.0]"
"['Ah']:[['Kh']]:[3, 3],[0]","[0.5, 0.5]"
"['Qh']:[['Kh']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['Kh']]:[3, 3],[1]","[0.0, 1.0]"
"['Qs']:[['Ks']]:[3, 3],[]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[3, 3],[0]","[0.0, 1.0]"
"['Qs']:[['Ks']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[3, 3],[1]","[0.0, 1.0]"
"['Qh']:[]:[0, 3],[]","[0.0, 0.836, 0.0, 0.164, 0.0]"
"['Qh']:[['As']]:[0, 3, 3],[]","[0.0, 1.0]"
"['Qh']:[['As']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['Qs']:[['Ah']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['Kh']:[['Ah']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['Qs']:[['Ah']]:[0, 2, 2],[0, 1]","[0.0, 0.5, 0.5]"
"['Kh']:[['Ah']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Kh']:[['Ah']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['Qs']:[['Ah']]:[0, 2, 2],[1, 2]","[0.0, 1.0]"
"['Kh']:[['Ah']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['Qs']:[['Ah']]:[0, 2, 2],[0, 2]","[0.0, 1.0]"
"['Kh']:[]:[0, 2, 3],[]","[0.333, 0.333, 0.333]"
"['Qs']:[['Ah']]:[0, 2, 3, 1],[]","[0.0, 1.0]"
"['Kh']:[['Ah']]:[0, 2, 3, 1],[0]","[0.5, 0.5]"
"['Kh']:[['Ah']]:[0, 2, 3, 1],[1]","[0.5, 0.5]"
"['Kh']:[]:[0, 2, 4],[]","[0.333, 0.667]"
"['Qh']:[['As']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Qh']:[['As']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Ks']:[['As']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Qh']:[['As']]:[2, 2],[0]","[0.333, 0.333, 0.333]"
"['Qh']:[['As']]:[2, 2],[1]","[0.2, 0.0, 0.8]"
"['Qh']:[['As']]:[2, 2],[2]","[1.0, 0.0]"
"['Qh']:[['As']]:[3, 3],[0]","[0.0, 1.0]"
"['Ks']:[['As']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Qh']:[['As']]:[3, 3],[1]","[0.0, 1.0]"
"['Qh']:[['Qs']]:[0, 3, 3],[]","[0.0, 1.0]"
"['As']:[['Qs']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['As']:[['Qs']]:[0, 3, 3],[1]","[0.0, 1.0]"
"['As']:[]:[0, 3, 4],[]","[0.0, 1.0]"
"['Qh']:[['Qs']]:[2, 3, 1],[]","[1.0, 0.0]"
"['As']:[['Qs']]:[2, 3, 1],[0]","[0.0, 1.0]"
"['As']:[['Qs']]:[2, 3, 1],[1]","[0.0, 1.0]"
"['As']:[]:[2, 3, 2],[]","[0.0, 1.0]"
"['Qh']:[]:[3, 4],[]","[0.0, 1.0]"
"['Qh']:[['Ks']]:[0, 2, 2],[]","[0.318, 0.0, 0.682]"
"['As']:[['Ks']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['Qh']:[['Ks']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['As']:[['Ks']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['As']:[['Ks']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['As']:[['Ks']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['Qh']:[['Ks']]:[0, 2, 2],[0, 2]","[0.0, 1.0]"
