"Hole Cards: ['8s', '2d'], Flop Cards: , Turn Card: , River Card:  Actions: 200:::","[0.25, 0.25, 0.25, 0.25]"
"Hole Cards: ['Tc', 'Th'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['9s', 'Ks'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 0.0, 1.0, 0.0, 0.0]"
"Hole Cards: ['Kc', '3c'], Flop Cards: , Turn Card: , River Card:  Actions: 200:::","[0.25, 0.25, 0.25, 0.25]"
"Hole Cards: ['As', '7d'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['4d', 'Ts'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[1.0, 0.0, 0.0, 0.0, 0.0]"
"Hole Cards: ['5h', '7s'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['4h', '9c'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 0.0, 1.0, 0.0, 0.0]"
"Hole Cards: ['7d', '7s'], Flop Cards: , Turn Card: , River Card:  Actions: 200:::","[0.25, 0.25, 0.25, 0.25]"
"Hole Cards: ['Jd', '3s'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
"Hole Cards: ['Jc', 'Ts'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.0, 1.0, 0.0, 0.0, 0.0]"
"Hole Cards: ['Jc', 'Ts'], Flop Cards: ['7h', '2d', 'Qd'], Turn Card: , River Card:  Actions: 100:::","[0.0, 0.0, 1.0, 0.0]"
"Hole Cards: ['2s', 'Qh'], Flop Cards: ['7h', '2d', 'Qd'], Turn Card: , River Card:  Actions: 100:200::","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
"Hole Cards: ['Kc', 'Qh'], Flop Cards: , Turn Card: , River Card:  Actions: :::","[0.2, 0.2, 0.2, 0.2, 0.2]"
